subject_set,pc,explained_variance_fraction,cumulative_explained_variance
all516,PC101,0.0017499158095712925,0.9306499509550316
all516,PC102,0.0017117834632633235,0.9323617344182948
all516,PC103,0.001568373714537556,0.9339301081328324
all516,PC104,0.0015176491512839596,0.9354477572841163
all516,PC105,0.0014372965079257926,0.9368850537920421
all516,PC106,0.0013394535391851475,0.9382245073312273
all516,PC107,0.0013246198318478987,0.9395491271630753
all516,PC108,0.0012965570902373077,0.9408456842533126
all516,PC109,0.0012770146989103258,0.9421226989522229
all516,PC110,0.0012589172896399308,0.9433816162418628
all516,PC111,0.0012235905582238687,0.9446052068000866
all516,PC112,0.0012047943976172498,0.9458100011977039
all516,PC113,0.0011951626270473607,0.9470051638247512
all516,PC114,0.001179509445746421,0.9481846732704976
all516,PC115,0.0011518615953287179,0.9493365348658264
all516,PC116,0.0011176817789359842,0.9504542166447624
all516,PC117,0.0011040429683613672,0.9515582596131238
all516,PC118,0.001087546903682147,0.952645806516806
all516,PC119,0.0010704803293325295,0.9537162868461385
all516,PC120,0.0010593280588761691,0.9547756149050147
all516,PC121,0.0010542048840740308,0.9558298197890888
all516,PC122,0.0010106364208445416,0.9568404562099333
all516,PC123,9.851789257520798e-4,0.9578256351356854
all516,PC124,9.667350303013075e-4,0.9587923701659867
all516,PC125,9.18600897681999e-4,0.9597109710636688
all516,PC126,9.002187325772357e-4,0.960611189796246
all516,PC127,8.784448845443933e-4,0.9614896346807904
all516,PC128,8.609530474652587e-4,0.9623505877282557
all516,PC129,8.325848761732762e-4,0.963183172604429
